          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    2.330    44    47    45.9    459  14103 |   10  2331    0.2230    0.0223    0.0005 |
    2.340    45    46    45.2    452  14555 |   10  2341    0.2204    0.0220    0.0005 |
    2.350    46    48    47.2    472  15027 |   10  2351    0.2312    0.0231    0.0005 |
    2.360    43    48    45.1    451  15478 |   10  2361    0.2210    0.0221    0.0005 |
    2.370    48    48    48.0    480  15958 |   10  2371    0.2332    0.0233    0.0005 |
    2.380    48    50    49.0    490  16448 |   10  2381    0.2397    0.0240    0.0005 |
    2.390    50    51    50.8    508  16956 |   10  2391    0.2483    0.0248    0.0005 |
    2.400    46    51    49.3    493  17449 |   10  2401    0.2518    0.0252    0.0005 |
    2.410    44    47    45.4    454  17903 |   10  2411    0.2316    0.0232    0.0005 |
    2.420    47    49    48.3    483  18386 |   10  2421    0.2488    0.0249    0.0005 |
    2.430    47    49    48.7    487  18873 |   10  2431    0.2348    0.0235    0.0005 |
    2.440    43    50    47.4    474  19347 |   10  2441    0.2293    0.0229    0.0005 |
    2.450    44    47    46.7    467  19814 |   10  2451    0.2279    0.0228    0.0005 |
    2.460    47    47    47.0    470  20284 |   10  2461    0.2292    0.0229    0.0005 |
    2.470    47    47    47.0    470  20754 |   10  2471    0.2281    0.0228    0.0005 |
    2.480    41    47    43.3    433  21187 |   10  2481    0.2095    0.0210    0.0005 |
    2.490    42    44    42.8    428  21615 |   10  2491    0.2111    0.0211    0.0005 |
    2.500    44    48    45.8    458  22073 |   10  2501    0.2221    0.0222    0.0005 |
    2.510    47    48    47.3    473  22546 |   10  2511    0.2338    0.0234    0.0005 |
    2.520    47    48    47.2    472  23018 |   10  2521    0.2334    0.0233    0.0005 |
    2.530    46    49    48.6    486  23504 |   10  2531    0.2361    0.0236    0.0005 |
    2.540    47    49    48.1    481  23985 |   10  2541    0.2359    0.0236    0.0005 |
    2.550    48    48    48.0    480  24465 |   10  2551    0.2320    0.0232    0.0005 |
    2.560    48    49    48.6    486  24951 |   10  2561    0.2393    0.0239    0.0005 |
    2.570    47    49    48.1    481  25432 |   10  2571    0.2320    0.0232    0.0005 |
    2.580    47    49    47.7    477  25909 |   10  2581    0.2314    0.0231    0.0005 |
    2.590    50    55    54.0    540  26449 |   10  2591    0.2593    0.0259    0.0005 |
    2.600    48    55    53.0    530  26979 |   10  2601    0.2571    0.0257    0.0005 |
    2.610    45    48    46.8    468  27447 |   10  2611    0.2227    0.0223    0.0005 |
    2.620    47    50    48.1    481  27928 |   10  2621    0.2337    0.0234    0.0005 |
    2.630    47    49    48.4    484  28412 |   10  2631    0.2331    0.0233    0.0005 |
    2.640    48    51    49.6    496  28908 |   10  2641    0.2239    0.0224    0.0005 |
    2.650    51    53    51.9    519  29427 |   10  2651    0.2338    0.0234    0.0005 |
    2.660    53    53    53.0    530  29957 |   10  2661    0.2358    0.0236    0.0004 |
    2.670    52    53    52.5    525  30482 |   10  2671    0.2343    0.0234    0.0004 |
    2.680    51    52    51.4    514  30996 |   10  2681    0.2287    0.0229    0.0004 |
    2.690    51    51    51.0    510  31506 |   10  2691    0.2273    0.0227    0.0004 |
    2.700    44    52    49.1    491  31997 |   10  2701    0.2195    0.0220    0.0004 |
    2.710    45    49    47.9    479  32476 |   10  2711    0.2172    0.0217    0.0005 |
    2.720    46    49    47.7    477  32953 |   10  2721    0.2146    0.0215    0.0004 |
    2.730    46    48    46.6    466  33419 |   10  2731    0.2118    0.0212    0.0005 |
    2.740    46    49    48.1    481  33900 |   10  2741    0.2116    0.0212    0.0004 |
    2.750    45    46    45.4    454  34354 |   10  2751    0.2047    0.0205    0.0005 |
    2.760    49    50    49.4    494  34848 |   10  2761    0.2221    0.0222    0.0004 |
    2.770    46    50    49.2    492  35340 |   10  2771    0.2192    0.0219    0.0004 |
    2.780    46    53    50.5    505  35845 |   10  2781    0.2273    0.0227    0.0005 |
    2.790    53    53    53.0    530  36375 |   10  2791    0.2346    0.0235    0.0004 |
    2.800    47    53    51.8    518  36893 |   10  2801    0.2325    0.0232    0.0004 |
    2.810    44    47    46.0    460  37353 |   10  2811    0.2034    0.0203    0.0004 |
    2.820    45    51    46.1    461  37814 |   10  2821    0.2074    0.0207    0.0004 |
    2.830    51    51    51.0    510  38324 |   10  2831    0.2272    0.0227    0.0004 |
    2.840    51    53    52.0    520  38844 |   10  2841    0.2322    0.0232    0.0004 |
    2.850    53    54    53.3    533  39377 |   10  2851    0.2391    0.0239    0.0004 |
    2.860    54    54    54.0    540  39917 |   10  2861    0.2370    0.0237    0.0004 |
    2.870    50    53    51.8    518  40435 |   10  2871    0.2288    0.0229    0.0004 |
    2.880    50    51    50.6    506  40941 |   10  2881    0.2250    0.0225    0.0004 |
    2.890    51    51    51.0    510  41451 |   10  2891    0.2270    0.0227    0.0004 |
    2.900    50    51    50.7    507  41958 |   10  2901    0.2282    0.0228    0.0005 |
    2.910    50    51    50.9    509  42467 |   10  2911    0.2251    0.0225    0.0004 |
    2.920    51    52    51.7    517  42984 |   10  2921    0.2297    0.0230    0.0004 |
    2.930    51    54    52.6    526  43510 |   10  2931    0.2350    0.0235    0.0004 |
    2.940    49    54    51.8    518  44028 |   10  2941    0.2310    0.0231    0.0004 |
    2.950    49    53    51.7    517  44545 |   10  2951    0.2274    0.0227    0.0004 |
    2.960    49    54    52.4    524  45069 |   10  2961    0.2321    0.0232    0.0004 |
    2.970    51    54    52.9    529  45598 |   10  2971    0.2354    0.0235    0.0004 |
    2.980    51    53    51.9    519  46117 |   10  2981    0.2318    0.0232    0.0004 |
    2.990    52    53    52.9    529  46646 |   10  2991    0.2369    0.0237    0.0004 |
    3.000    50    52    51.2    512  47158 |   10  3001    0.2282    0.0228    0.0004 |
    3.010    49    54    51.7    517  47675 |   10  3011    0.2280    0.0228    0.0004 |
    3.020    51    51    51.0    510  48185 |   10  3021    0.2294    0.0229    0.0004 |
    3.030    50    54    52.1    521  48706 |   10  3031    0.2317    0.0232    0.0004 |
    3.040    52    54    52.6    526  49232 |   10  3041    0.2365    0.0237    0.0004 |
    3.050    51    51    51.0    510  49742 |   10  3051    0.2285    0.0228    0.0004 |
    3.060    50    52    51.1    511  50253 |   10  3061    0.2284    0.0228    0.0004 |
    3.070    52    52    52.0    520  50773 |   10  3071    0.2319    0.0232    0.0004 |
    3.080    48    52    49.4    494  51267 |   10  3081    0.2218    0.0222    0.0004 |
    3.090    49    50    49.9    499  51766 |   10  3091    0.2230    0.0223    0.0004 |
    3.100    49    50    49.3    493  52259 |   10  3101    0.2178    0.0218    0.0004 |
    3.110    48    49    48.8    488  52747 |   10  3111    0.2171    0.0217    0.0004 |
    3.120    47    50    47.9    479  53226 |   10  3121    0.2081    0.0208    0.0004 |
    3.130    46    49    47.5    475  53701 |   10  3131    0.2098    0.0210    0.0004 |
    3.140    46    47    46.7    467  54168 |   10  3141    0.2051    0.0205    0.0004 |
    3.150    47    49    48.3    483  54651 |   10  3151    0.2172    0.0217    0.0004 |
    3.160    49    49    49.0    490  55141 |   10  3161    0.2192    0.0219    0.0004 |
    3.170    49    49    49.0    490  55631 |   10  3171    0.2210    0.0221    0.0005 |
    3.180    48    50    49.0    490  56121 |   10  3181    0.2183    0.0218    0.0004 |
    3.190    50    51    50.1    501  56622 |   10  3191    0.2221    0.0222    0.0004 |
    3.200    51    51    51.0    510  57132 |   10  3201    0.2260    0.0226    0.0004 |
    3.210    51    51    51.0    510  57642 |   10  3211    0.2257    0.0226    0.0004 |
    3.220    51    51    51.0    510  58152 |   10  3221    0.2254    0.0225    0.0004 |
    3.230    51    51    51.0    510  58662 |   10  3231    0.2247    0.0225    0.0004 |
    3.240    46    51    49.0    490  59152 |   10  3241    0.2276    0.0228    0.0005 |
    3.250    49    49    49.0    490  59642 |   10  3251    0.2171    0.0217    0.0004 |
    3.260    49    49    49.0    490  60132 |   10  3261    0.2176    0.0218    0.0004 |
