          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    8.100    61    71    67.2   3358 397783 |   50  8101    1.9270    0.0385    0.0006 |
    8.150    65    71    68.5   3425 401208 |   50  8151    1.8883    0.0378    0.0006 |
    8.200    65    69    67.2   3359 404567 |   50  8201    1.8340    0.0367    0.0005 |
    8.250    67    70    68.2   3411 407978 |   50  8251    1.8641    0.0373    0.0005 |
    8.300    64    70    68.1   3407 411385 |   50  8301    1.8572    0.0371    0.0005 |
    8.350    68    71    69.0   3452 414837 |   50  8351    1.8838    0.0377    0.0005 |
    8.400    61    68    66.4   3320 418157 |   50  8401    1.8135    0.0363    0.0005 |
    8.450    58    61    60.3   3016 421173 |   50  8451    1.6545    0.0331    0.0005 |
    8.500    58    64    60.6   3032 424205 |   50  8501    1.6643    0.0333    0.0005 |
    8.550    56    62    58.9   2947 427152 |   50  8551    1.6168    0.0323    0.0005 |
    8.600    57    63    59.1   2953 430105 |   50  8601    1.6177    0.0324    0.0005 |
    8.650    58    64    60.8   3042 433147 |   50  8651    1.6646    0.0333    0.0005 |
    8.700    57    61    59.2   2960 436107 |   50  8701    1.6226    0.0325    0.0005 |
    8.750    57    60    58.7   2933 439040 |   50  8751    1.6113    0.0322    0.0005 |
    8.800    57    62    60.8   3041 442081 |   50  8801    1.6640    0.0333    0.0005 |
    8.850    57    61    60.3   3014 445095 |   50  8851    1.6524    0.0330    0.0005 |
    8.900    57    62    58.7   2934 448029 |   50  8901    1.6389    0.0328    0.0006 |
    8.950    54    62    58.9   2946 450975 |   50  8951    1.6971    0.0339    0.0006 |
    9.000    55    62    58.4   2919 453894 |   50  9001    1.5975    0.0320    0.0005 |
    9.050    55    58    55.2   2762 456656 |   50  9051    1.5175    0.0303    0.0005 |
    9.100    53    58    56.8   2840 459496 |   50  9101    1.5737    0.0315    0.0006 |
    9.150    49    54    51.3   2565 462061 |   50  9151    1.4134    0.0283    0.0006 |
