          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    6.950    16    17    16.5    826  75467 |   50  6951    0.0419    0.0008    0.0001 |
    7.000    15    17    16.3    813  76280 |   50  7001    0.0420    0.0008    0.0001 |
    7.050    16    17    16.2    812  77092 |   50  7051    0.0401    0.0008    0.0000 |
    7.100    16    17    16.2    808  77900 |   50  7101    0.0420    0.0008    0.0001 |
    7.150    16    17    16.3    814  78714 |   50  7151    0.0414    0.0008    0.0001 |
    7.200    16    17    16.7    836  79550 |   50  7201    0.0425    0.0008    0.0001 |
    7.250    16    17    16.1    804  80354 |   50  7251    0.0407    0.0008    0.0001 |
    7.300    16    17    16.0    801  81155 |   50  7301    0.0442    0.0009    0.0001 |
    7.350    16    17    16.4    818  81973 |   50  7351    0.0432    0.0009    0.0001 |
    7.400    16    16    16.0    800  82773 |   50  7401    0.0402    0.0008    0.0001 |
    7.450    16    17    16.7    833  83606 |   50  7451    0.0427    0.0009    0.0001 |
    7.500    16    17    16.2    812  84418 |   50  7501    0.0410    0.0008    0.0001 |
    7.550    16    17    16.1    805  85223 |   50  7551    0.0406    0.0008    0.0001 |
    7.600    16    17    16.7    836  86059 |   50  7601    0.0414    0.0008    0.0000 |
    7.650    17    17    17.0    850  86909 |   50  7651    0.0429    0.0009    0.0001 |
    7.700    16    17    16.9    847  87756 |   50  7701    0.0428    0.0009    0.0001 |
    7.750    16    17    16.1    807  88563 |   50  7751    0.0414    0.0008    0.0001 |
    7.800    16    17    16.1    803  89366 |   50  7801    0.0415    0.0008    0.0001 |
    7.850    16    17    16.1    806  90172 |   50  7851    0.0409    0.0008    0.0001 |
    7.900    16    17    16.6    830  91002 |   50  7901    0.0413    0.0008    0.0000 |
    7.950    17    18    17.2    862  91864 |   50  7951    0.0430    0.0009    0.0000 |
    8.000    17    17    17.0    850  92714 |   50  8001    0.0429    0.0009    0.0001 |
