          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    1.390     7     7     7.0     70  11041 |   10  1391    0.0025    0.0002    0.0000 |
    1.400     7     7     7.0     70  11111 |   10  1401    0.0024    0.0002    0.0000 |
    1.410     7     7     7.0     70  11181 |   10  1411    0.0023    0.0002    0.0000 |
    1.420     7     7     7.0     70  11251 |   10  1421    0.0023    0.0002    0.0000 |
    1.430     7     7     7.0     70  11321 |   10  1431    0.0023    0.0002    0.0000 |
    1.440     7     7     7.0     70  11391 |   10  1441    0.0027    0.0003    0.0000 |
    1.450     7     7     7.0     70  11461 |   10  1451    0.0024    0.0002    0.0000 |
    1.460     7     7     7.0     70  11531 |   10  1461    0.0024    0.0002    0.0000 |
    1.470     7     7     7.0     70  11601 |   10  1471    0.0031    0.0003    0.0000 |
    1.480     7     7     7.0     70  11671 |   10  1481    0.0027    0.0003    0.0000 |
    1.490     7     7     7.0     70  11741 |   10  1491    0.0032    0.0003    0.0000 |
    1.500     7     7     7.0     70  11811 |   10  1501    0.0025    0.0002    0.0000 |
    1.510     7     7     7.0     70  11881 |   10  1511    0.0028    0.0003    0.0000 |
    1.520     7     7     7.0     70  11951 |   10  1521    0.0037    0.0004    0.0001 |
    1.530     7     7     7.0     70  12021 |   10  1531    0.0023    0.0002    0.0000 |
    1.540     7     7     7.0     70  12091 |   10  1541    0.0025    0.0003    0.0000 |
    1.550     7     7     7.0     70  12161 |   10  1551    0.0025    0.0002    0.0000 |
    1.560     7     7     7.0     70  12231 |   10  1561    0.0032    0.0003    0.0000 |
    1.570     7     7     7.0     70  12301 |   10  1571    0.0025    0.0003    0.0000 |
    1.580     7     7     7.0     70  12371 |   10  1581    0.0027    0.0003    0.0000 |
    1.590     7     7     7.0     70  12441 |   10  1591    0.0025    0.0002    0.0000 |
    1.600     7     7     7.0     70  12511 |   10  1601    0.0026    0.0003    0.0000 |
    1.610     7     7     7.0     70  12581 |   10  1611    0.0025    0.0003    0.0000 |
    1.620     7     7     7.0     70  12651 |   10  1621    0.0025    0.0002    0.0000 |
    1.630     7     7     7.0     70  12721 |   10  1631    0.0025    0.0002    0.0000 |
    1.640     7     7     7.0     70  12791 |   10  1641    0.0024    0.0002    0.0000 |
    1.650     7     7     7.0     70  12861 |   10  1651    0.0027    0.0003    0.0000 |
    1.660     7     7     7.0     70  12931 |   10  1661    0.0024    0.0002    0.0000 |
    1.670     7     7     7.0     70  13001 |   10  1671    0.0025    0.0003    0.0000 |
    1.680     7     7     7.0     70  13071 |   10  1681    0.0025    0.0002    0.0000 |
    1.690     7     7     7.0     70  13141 |   10  1691    0.0024    0.0002    0.0000 |
    1.700     7     7     7.0     70  13211 |   10  1701    0.0025    0.0003    0.0000 |
    1.710     7     7     7.0     70  13281 |   10  1711    0.0026    0.0003    0.0000 |
    1.720     7     7     7.0     70  13351 |   10  1721    0.0024    0.0002    0.0000 |
    1.730     7     7     7.0     70  13421 |   10  1731    0.0026    0.0003    0.0000 |
