          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    2.250    25    25    25.0    250  23642 |   10  2251    0.0473    0.0047    0.0002 |
    2.260    25    25    25.0    250  23892 |   10  2261    0.0457    0.0046    0.0002 |
    2.270    25    25    25.0    250  24142 |   10  2271    0.0445    0.0044    0.0002 |
    2.280    25    25    25.0    250  24392 |   10  2281    0.0459    0.0046    0.0002 |
    2.290    25    25    25.0    250  24642 |   10  2291    0.0460    0.0046    0.0002 |
    2.300    25    25    25.0    250  24892 |   10  2301    0.0460    0.0046    0.0002 |
    2.310    25    25    25.0    250  25142 |   10  2311    0.0463    0.0046    0.0002 |
    2.320    25    25    25.0    250  25392 |   10  2321    0.0462    0.0046    0.0002 |
    2.330    25    25    25.0    250  25642 |   10  2331    0.0460    0.0046    0.0002 |
    2.340    25    25    25.0    250  25892 |   10  2341    0.0464    0.0046    0.0002 |
    2.350    24    25    24.6    246  26138 |   10  2351    0.0441    0.0044    0.0002 |
    2.360    23    24    23.1    231  26369 |   10  2361    0.0423    0.0042    0.0002 |
    2.370    23    24    23.3    233  26602 |   10  2371    0.0427    0.0043    0.0002 |
    2.380    24    24    24.0    240  26842 |   10  2381    0.0429    0.0043    0.0002 |
    2.390    24    24    24.0    240  27082 |   10  2391    0.0431    0.0043    0.0002 |
    2.400    24    24    24.0    240  27322 |   10  2401    0.0449    0.0045    0.0002 |
    2.410    24    24    24.0    240  27562 |   10  2411    0.0452    0.0045    0.0002 |
    2.420    24    24    24.0    240  27802 |   10  2421    0.0430    0.0043    0.0002 |
    2.430    24    24    24.0    240  28042 |   10  2431    0.0418    0.0042    0.0002 |
    2.440    24    24    24.0    240  28282 |   10  2441    0.0464    0.0046    0.0002 |
    2.450    24    24    24.0    240  28522 |   10  2451    0.0450    0.0045    0.0002 |
    2.460    24    24    24.0    240  28762 |   10  2461    0.0430    0.0043    0.0002 |
    2.470    24    24    24.0    240  29002 |   10  2471    0.0426    0.0043    0.0002 |
    2.480    24    24    24.0    240  29242 |   10  2481    0.0463    0.0046    0.0002 |
    2.490    24    24    24.0    240  29482 |   10  2491    0.0452    0.0045    0.0002 |
    2.500    24    24    24.0    240  29722 |   10  2501    0.0431    0.0043    0.0002 |
    2.510    24    24    24.0    240  29962 |   10  2511    0.0436    0.0044    0.0002 |
    2.520    24    24    24.0    240  30202 |   10  2521    0.0452    0.0045    0.0002 |
    2.530    24    24    24.0    240  30442 |   10  2531    0.0433    0.0043    0.0002 |
    2.540    24    24    24.0    240  30682 |   10  2541    0.0441    0.0044    0.0002 |
    2.550    24    24    24.0    240  30922 |   10  2551    0.0435    0.0044    0.0002 |
    2.560    24    24    24.0    240  31162 |   10  2561    0.0449    0.0045    0.0002 |
    2.570    24    24    24.0    240  31402 |   10  2571    0.0428    0.0043    0.0002 |
    2.580    24    24    24.0    240  31642 |   10  2581    0.0451    0.0045    0.0002 |
    2.590    24    24    24.0    240  31882 |   10  2591    0.0444    0.0044    0.0002 |
    2.600    23    24    23.2    232  32114 |   10  2601    0.0419    0.0042    0.0002 |
    2.610    23    23    23.0    230  32344 |   10  2611    0.0412    0.0041    0.0002 |
    2.620    23    23    23.0    230  32574 |   10  2621    0.0424    0.0042    0.0002 |
    2.630    23    23    23.0    230  32804 |   10  2631    0.0423    0.0042    0.0002 |
    2.640    23    23    23.0    230  33034 |   10  2641    0.0418    0.0042    0.0002 |
    2.650    22    23    22.2    222  33256 |   10  2651    0.0418    0.0042    0.0002 |
    2.660    22    22    22.0    220  33476 |   10  2661    0.0417    0.0042    0.0002 |
    2.670    22    22    22.0    220  33696 |   10  2671    0.0417    0.0042    0.0002 |
    2.680    22    22    22.0    220  33916 |   10  2681    0.0397    0.0040    0.0002 |
