          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    0.590     5     5     5.0     25   2711 |    5   591    0.0079    0.0016    0.0003 |
    0.595     5     5     5.0     25   2736 |    5   596    0.0074    0.0015    0.0003 |
    0.600     5     5     5.0     25   2761 |    5   601    0.0065    0.0013    0.0003 |
    0.605     5     5     5.0     25   2786 |    5   606    0.0067    0.0013    0.0003 |
    0.610     5     5     5.0     25   2811 |    5   611    0.0063    0.0013    0.0003 |
    0.615     5     5     5.0     25   2836 |    5   616    0.0068    0.0014    0.0003 |
    0.620     5     5     5.0     25   2861 |    5   621    0.0069    0.0014    0.0003 |
    0.625     5     5     5.0     25   2886 |    5   626    0.0069    0.0014    0.0003 |
    0.630     5     5     5.0     25   2911 |    5   631    0.0069    0.0014    0.0003 |
    0.635     5     5     5.0     25   2936 |    5   636    0.0070    0.0014    0.0003 |
    0.640     5     5     5.0     25   2961 |    5   641    0.0061    0.0012    0.0002 |
    0.645     5     5     5.0     25   2986 |    5   646    0.0075    0.0015    0.0003 |
    0.650     5     5     5.0     25   3011 |    5   651    0.0062    0.0012    0.0002 |
    0.655     5     5     5.0     25   3036 |    5   656    0.0069    0.0014    0.0003 |
    0.660     5     5     5.0     25   3061 |    5   661    0.0073    0.0015    0.0003 |
    0.665     5     5     5.0     25   3086 |    5   666    0.0059    0.0012    0.0002 |
    0.670     5     5     5.0     25   3111 |    5   671    0.0061    0.0012    0.0002 |
    0.675     5     5     5.0     25   3136 |    5   676    0.0060    0.0012    0.0002 |
    0.680     5     5     5.0     25   3161 |    5   681    0.0068    0.0014    0.0003 |
    0.685     5     5     5.0     25   3186 |    5   686    0.0063    0.0013    0.0003 |
    0.690     5     5     5.0     25   3211 |    5   691    0.0070    0.0014    0.0003 |
    0.695     5     5     5.0     25   3236 |    5   696    0.0075    0.0015    0.0003 |
    0.700     5     5     5.0     25   3261 |    5   701    0.0060    0.0012    0.0002 |
    0.705     5     5     5.0     25   3286 |    5   706    0.0072    0.0014    0.0003 |
    0.710     5     5     5.0     25   3311 |    5   711    0.0069    0.0014    0.0003 |
    0.715     5     5     5.0     25   3336 |    5   716    0.0074    0.0015    0.0003 |
    0.720     5     5     5.0     25   3361 |    5   721    0.0062    0.0012    0.0002 |
    0.725     5     5     5.0     25   3386 |    5   726    0.0072    0.0014    0.0003 |
    0.730     5     5     5.0     25   3411 |    5   731    0.0068    0.0014    0.0003 |
    0.735     5     5     5.0     25   3436 |    5   736    0.0059    0.0012    0.0002 |
    0.740     5     5     5.0     25   3461 |    5   741    0.0072    0.0014    0.0003 |
    0.745     5     5     5.0     25   3486 |    5   746    0.0069    0.0014    0.0003 |
    0.750     5     5     5.0     25   3511 |    5   751    0.0074    0.0015    0.0003 |
    0.755     5     5     5.0     25   3536 |    5   756    0.0073    0.0015    0.0003 |
    0.760     5     5     5.0     25   3561 |    5   761    0.0069    0.0014    0.0003 |
    0.765     5     5     5.0     25   3586 |    5   766    0.0084    0.0017    0.0003 |
    0.770     5     5     5.0     25   3611 |    5   771    0.0082    0.0016    0.0003 |
    0.775     5     5     5.0     25   3636 |    5   776    0.0064    0.0013    0.0003 |
    0.780     5     5     5.0     25   3661 |    5   781    0.0077    0.0015    0.0003 |
    0.785     5     5     5.0     25   3686 |    5   786    0.0062    0.0012    0.0002 |
    0.790     5     5     5.0     25   3711 |    5   791    0.0069    0.0014    0.0003 |
    0.795     5     5     5.0     25   3736 |    5   796    0.0065    0.0013    0.0003 |
    0.800     5     5     5.0     25   3761 |    5   801    0.0063    0.0013    0.0003 |
    0.805     5     5     5.0     25   3786 |    5   806    0.0069    0.0014    0.0003 |
    0.810     5     5     5.0     25   3811 |    5   811    0.0073    0.0015    0.0003 |
    0.815     5     5     5.0     25   3836 |    5   816    0.0064    0.0013    0.0003 |
    0.820     5     5     5.0     25   3861 |    5   821    0.0063    0.0013    0.0003 |
    0.825     5     5     5.0     25   3886 |    5   826    0.0061    0.0012    0.0002 |
    0.830     5     5     5.0     25   3911 |    5   831    0.0074    0.0015    0.0003 |
    0.835     5     5     5.0     25   3936 |    5   836    0.0067    0.0013    0.0003 |
    0.840     5     5     5.0     25   3961 |    5   841    0.0079    0.0016    0.0003 |
    0.845     5     5     5.0     25   3986 |    5   846    0.0068    0.0014    0.0003 |
