          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.625    53    53    53.0    265  33126 |    5   626    0.0080    0.0016    0.0000 |
    0.630    53    53    53.0    265  33391 |    5   631    0.0067    0.0013    0.0000 |
    0.635    53    53    53.0    265  33656 |    5   636    0.0085    0.0017    0.0000 |
    0.640    53    53    53.0    265  33921 |    5   641    0.0066    0.0013    0.0000 |
    0.645    53    53    53.0    265  34186 |    5   646    0.0085    0.0017    0.0000 |
    0.650    53    53    53.0    265  34451 |    5   651    0.0069    0.0014    0.0000 |
    0.655    53    53    53.0    265  34716 |    5   656    0.0066    0.0013    0.0000 |
    0.660    53    53    53.0    265  34981 |    5   661    0.0078    0.0016    0.0000 |
    0.665    53    53    53.0    265  35246 |    5   666    0.0074    0.0015    0.0000 |
    0.670    53    53    53.0    265  35511 |    5   671    0.0063    0.0013    0.0000 |
    0.675    53    53    53.0    265  35776 |    5   676    0.0065    0.0013    0.0000 |
    0.680    53    53    53.0    265  36041 |    5   681    0.0069    0.0014    0.0000 |
    0.685    53    53    53.0    265  36306 |    5   686    0.0073    0.0015    0.0000 |
    0.690    53    53    53.0    265  36571 |    5   691    0.0069    0.0014    0.0000 |
    0.695    53    53    53.0    265  36836 |    5   696    0.0087    0.0017    0.0000 |
    0.700    53    53    53.0    265  37101 |    5   701    0.0070    0.0014    0.0000 |
    0.705    53    53    53.0    265  37366 |    5   706    0.0081    0.0016    0.0000 |
    0.710    53    53    53.0    265  37631 |    5   711    0.0069    0.0014    0.0000 |
    0.715    53    53    53.0    265  37896 |    5   716    0.0080    0.0016    0.0000 |
    0.720    53    53    53.0    265  38161 |    5   721    0.0071    0.0014    0.0000 |
    0.725    53    53    53.0    265  38426 |    5   726    0.0067    0.0013    0.0000 |
    0.730    53    53    53.0    265  38691 |    5   731    0.0084    0.0017    0.0000 |
    0.735    53    53    53.0    265  38956 |    5   736    0.0066    0.0013    0.0000 |
    0.740    53    53    53.0    265  39221 |    5   741    0.0068    0.0014    0.0000 |
    0.745    53    53    53.0    265  39486 |    5   746    0.0072    0.0014    0.0000 |
    0.750    53    53    53.0    265  39751 |    5   751    0.0072    0.0014    0.0000 |
    0.755    53    53    53.0    265  40016 |    5   756    0.0070    0.0014    0.0000 |
    0.760    53    53    53.0    265  40281 |    5   761    0.0073    0.0015    0.0000 |
    0.765    53    53    53.0    265  40546 |    5   766    0.0079    0.0016    0.0000 |
    0.770    53    53    53.0    265  40811 |    5   771    0.0085    0.0017    0.0000 |
    0.775    53    53    53.0    265  41076 |    5   776    0.0071    0.0014    0.0000 |
    0.780    53    53    53.0    265  41341 |    5   781    0.0085    0.0017    0.0000 |
    0.785    53    53    53.0    265  41606 |    5   786    0.0070    0.0014    0.0000 |
    0.790    53    53    53.0    265  41871 |    5   791    0.0067    0.0013    0.0000 |
    0.795    53    53    53.0    265  42136 |    5   796    0.0078    0.0016    0.0000 |
    0.800    53    53    53.0    265  42401 |    5   801    0.0068    0.0014    0.0000 |
    0.805    53    53    53.0    265  42666 |    5   806    0.0078    0.0016    0.0000 |
    0.810    53    53    53.0    265  42931 |    5   811    0.0068    0.0014    0.0000 |
    0.815    53    53    53.0    265  43196 |    5   816    0.0073    0.0015    0.0000 |
    0.820    53    53    53.0    265  43461 |    5   821    0.0071    0.0014    0.0000 |
    0.825    53    53    53.0    265  43726 |    5   826    0.0069    0.0014    0.0000 |
    0.830    53    53    53.0    265  43991 |    5   831    0.0082    0.0016    0.0000 |
    0.835    53    53    53.0    265  44256 |    5   836    0.0072    0.0014    0.0000 |
    0.840    53    53    53.0    265  44521 |    5   841    0.0079    0.0016    0.0000 |
    0.845    53    53    53.0    265  44786 |    5   846    0.0065    0.0013    0.0000 |
    0.850    53    53    53.0    265  45051 |    5   851    0.0085    0.0017    0.0000 |
    0.855    53    53    53.0    265  45316 |    5   856    0.0066    0.0013    0.0000 |
    0.860    53    53    53.0    265  45581 |    5   861    0.0069    0.0014    0.0000 |
    0.865    53    53    53.0    265  45846 |    5   866    0.0067    0.0013    0.0000 |
    0.870    53    53    53.0    265  46111 |    5   871    0.0069    0.0014    0.0000 |
    0.875    53    53    53.0    265  46376 |    5   876    0.0068    0.0014    0.0000 |
    0.880    53    53    53.0    265  46641 |    5   881    0.0071    0.0014    0.0000 |
    0.885    53    53    53.0    265  46906 |    5   886    0.0068    0.0014    0.0000 |
    0.890    53    53    53.0    265  47171 |    5   891    0.0069    0.0014    0.0000 |
