          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    8.350    85    89    87.0   4351 530237 |   50  8351    6.6549    0.1331    0.0015 |
    8.400    86    90    88.5   4425 534662 |   50  8401    7.0267    0.1405    0.0016 |
    8.450    86    88    87.1   4353 539015 |   50  8451    6.3873    0.1277    0.0015 |
    8.500    86    87    86.8   4341 543356 |   50  8501    6.2041    0.1241    0.0014 |
    8.550    83    86    84.9   4244 547600 |   50  8551    6.0734    0.1215    0.0014 |
    8.600    81    83    81.8   4092 551692 |   50  8601    6.3243    0.1265    0.0015 |
    8.650    80    81    80.4   4019 555711 |   50  8651    6.1691    0.1234    0.0015 |
    8.700    77    80    79.8   3992 559703 |   50  8701    5.4924    0.1098    0.0014 |
    8.750    78    80    79.9   3997 563700 |   50  8751    5.4304    0.1086    0.0014 |
    8.800    76    80    78.7   3935 567635 |   50  8801    5.4324    0.1086    0.0014 |
    8.850    74    78    76.3   3816 571451 |   50  8851    5.4381    0.1088    0.0014 |
    8.900    73    76    73.8   3692 575143 |   50  8901    5.1893    0.1038    0.0014 |
    8.950    68    75    68.9   3446 578589 |   50  8951    4.8016    0.0960    0.0014 |
    9.000    67    68    67.5   3377 581966 |   50  9001    4.5882    0.0918    0.0014 |
    9.050    66    67    66.6   3331 585297 |   50  9051    4.5452    0.0909    0.0014 |
    9.100    63    66    64.1   3205 588502 |   50  9101    4.3603    0.0872    0.0014 |
    9.150    62    63    62.1   3104 591606 |   50  9151    4.2833    0.0857    0.0014 |
    9.200    62    62    62.0   3100 594706 |   50  9201    4.2355    0.0847    0.0014 |
    9.250    59    62    60.5   3024 597730 |   50  9251    4.1695    0.0834    0.0014 |
    9.300    57    59    57.5   2877 600607 |   50  9301    4.0014    0.0800    0.0014 |
    9.350    55    57    55.9   2796 603403 |   50  9351    3.8364    0.0767    0.0014 |
    9.400    55    55    55.0   2750 606153 |   50  9401    3.7844    0.0757    0.0014 |
    9.450    55    59    56.2   2809 608962 |   50  9451    3.8578    0.0772    0.0014 |
    9.500    59    61    60.1   3006 611968 |   50  9501    4.0926    0.0819    0.0014 |
    9.550    61    61    61.0   3050 615018 |   50  9551    4.1695    0.0834    0.0014 |
    9.600    61    61    61.0   3050 618068 |   50  9601    4.1711    0.0834    0.0014 |
    9.650    60    61    60.4   3021 621089 |   50  9651    4.1857    0.0837    0.0014 |
    9.700    59    60    59.8   2990 624079 |   50  9701    4.0811    0.0816    0.0014 |
    9.750    56    59    58.0   2901 626980 |   50  9751    3.9719    0.0794    0.0014 |
    9.800    55    56    55.3   2764 629744 |   50  9801    3.7831    0.0757    0.0014 |
    9.850    52    55    53.5   2677 632421 |   50  9851    3.6578    0.0732    0.0014 |
    9.900    50    52    50.6   2532 634953 |   50  9901    3.4990    0.0700    0.0014 |
    9.950    49    50    49.3   2464 637417 |   50  9951    3.3845    0.0677    0.0014 |
   10.000    48    49    48.4   2419 639836 |   50 10001    3.3408    0.0668    0.0014 |
